City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Manacapuru,BR,-3.2997,-60.6206,78.01,91,100,3.31,overcast clouds
308,Opuwo,NA,-18.0607,13.84,68.4,69,100,2.28,overcast clouds
309,Axim,GH,4.8699,-2.2405,79.45,83,94,7.11,overcast clouds
310,Baker City,US,44.7749,-117.8344,38.91,65,20,12.66,few clouds
311,Ahipara,NZ,-35.1667,173.1667,66.0,56,78,13.0,broken clouds
312,Cidreira,BR,-30.1811,-50.2056,68.14,72,100,7.07,overcast clouds
313,Rodrigues Alves,BR,-7.738,-72.6509,79.0,97,100,3.02,overcast clouds
314,Coquimbo,CL,-29.9533,-71.3436,56.93,88,40,8.05,scattered clouds
315,Katsuura,JP,35.1333,140.3,62.62,91,100,21.94,overcast clouds
316,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,60,75,2.24,broken clouds
317,Mandera,KE,3.9366,41.867,83.84,63,83,12.84,broken clouds
318,Urumqi,CN,43.801,87.6005,45.55,27,0,2.24,clear sky
319,Setermoen,NO,68.861,18.3486,34.43,97,100,2.66,overcast clouds
320,Alofi,NU,-19.0595,-169.9187,84.09,79,40,8.05,scattered clouds
321,Almaznyy,RU,48.0448,40.045,38.52,91,100,12.5,overcast clouds
322,Sitka,US,57.0531,-135.33,41.54,33,0,1.68,clear sky
323,Pochutla,MX,15.7432,-96.4661,88.83,54,92,10.33,overcast clouds
324,Camopi,GF,3.1655,-52.3158,72.88,99,58,3.02,broken clouds
325,Khani,GE,41.9563,42.9566,29.77,89,80,4.68,broken clouds
326,Linjiang,CN,41.8069,126.9078,44.94,71,98,1.34,overcast clouds
327,Trairi,BR,-3.2778,-39.2689,77.5,85,92,5.68,overcast clouds
328,Evensk,RU,61.95,159.2333,24.37,88,100,12.48,light snow
329,Vila,PT,42.0304,-8.1588,45.7,88,44,3.69,scattered clouds
330,Arman,RU,59.7,150.1667,28.02,62,100,6.46,overcast clouds
331,Grindavik,IS,63.8424,-22.4338,44.55,81,100,19.57,moderate rain
332,Whitehorse,CA,60.7161,-135.0538,33.1,30,0,3.44,clear sky
333,Shache,CN,38.4167,77.2406,64.62,33,100,3.8,overcast clouds
334,Emba,KZ,48.8264,58.1442,59.81,48,87,17.6,overcast clouds
335,Masallatah,LY,32.6167,14.0,62.56,57,87,24.32,overcast clouds
336,Port Lincoln,AU,-34.7333,135.8667,64.76,86,100,4.81,moderate rain
337,Canton,CN,23.1167,113.25,66.15,58,0,10.49,clear sky
338,Abu Dhabi,AE,24.4667,54.3667,84.31,34,0,2.3,clear sky
339,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,59,20,13.58,few clouds
340,Mao,ES,39.8885,4.2658,55.96,94,75,11.5,broken clouds
341,Hay River,CA,60.8156,-115.7999,13.96,57,0,9.22,clear sky
